,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
76,Constitucion,40,MX,1569184281,36,23.99,-104.67,78.96,3.36
77,Lake Havasu City,1,US,1569184281,8,34.47,-114.34,93.25,5.82
78,Lebu,75,ET,1569184087,77,8.96,38.73,59.0,3.36
79,Ponta do Sol,67,BR,1569184281,69,-20.63,-46.0,74.62,3.38
80,Sampit,100,ID,1569184281,94,-2.54,112.95,73.0,1.99
81,Pampas,84,PE,1569184282,44,-12.4,-74.87,56.08,10.31
82,Rabo de Peixe,40,PT,1569184282,100,37.8,-25.58,71.29,16.11
83,Tshane,0,BW,1569184282,19,-24.02,21.87,56.08,14.05
84,Cidreira,0,BR,1569184282,54,-30.17,-50.22,56.44,11.79
85,Ahipara,36,NZ,1569184282,100,-35.17,173.16,53.01,12.03
86,Rio Muerto,75,MX,1569184283,62,27.42,-110.23,87.8,6.93
87,Qaanaaq,1,GL,1569184084,68,77.48,-69.36,23.68,4.63
88,Bilma,0,NE,1569184283,13,18.69,12.92,89.74,2.01
89,Muisne,75,EC,1569184283,83,0.61,-80.02,80.6,10.29
90,Kedzierzyn-Kozle,0,PL,1569184284,93,50.35,18.23,49.06,3.36
91,Husavik,43,CA,1569184284,49,50.56,-96.99,66.47,3.47
92,Garowe,33,SO,1569184284,39,8.41,48.48,84.34,22.59
93,New Norfolk,75,AU,1569184096,70,-42.78,147.06,40.14,10.29
94,Amarwara,89,IN,1569184284,92,22.3,79.17,71.38,3.06
95,Lata,7,IN,1569184284,87,30.78,78.62,34.12,0.83
96,Fond du Lac,90,US,1569184285,77,43.77,-88.45,67.69,8.05
97,Thompson,20,CA,1569184096,48,55.74,-97.86,64.4,5.82
98,Maldonado,0,UY,1569184166,50,-34.91,-54.96,57.2,11.41
99,Mujiayingzi,0,CN,1569184285,40,42.12,118.78,51.76,6.8
100,Shetpe,0,KZ,1569184285,50,44.14,52.16,57.16,15.21
101,Pangai,20,TO,1569184286,56,-19.8,-174.35,69.8,10.29
102,Chizhou,0,CN,1569184286,67,30.67,117.49,61.12,5.46
103,Saint Anthony,1,US,1569184286,42,43.97,-111.68,63.41,9.17
104,Tapes,0,BR,1569184286,62,-30.67,-51.4,55.54,12.53
105,Hualmay,89,PE,1569184287,91,-11.1,-77.61,61.48,11.81
106,Airai,20,TL,1569184088,86,-8.93,125.41,67.78,3.42
107,Lasa,20,CY,1569184287,73,34.92,32.53,71.62,8.05
108,Torbay,75,CA,1569184287,66,47.66,-52.73,56.79,18.34
109,Darhan,0,MN,1569184287,84,49.49,105.92,50.68,2.24
110,Kavieng,67,PG,1569184288,74,-2.57,150.8,81.82,6.69
111,Batagay-Alyta,99,RU,1569184288,82,67.8,130.41,25.3,5.66
112,Sevsk,100,RU,1569184289,87,52.15,34.49,41.5,6.46
113,Sechura,62,PE,1569184289,91,-5.56,-80.82,62.92,15.64
114,Cabra,61,ES,1569184289,56,37.47,-4.43,66.34,3.36
115,Lupeni,100,RO,1569184289,45,45.35,23.21,51.76,5.37
116,Klaksvik,25,FO,1569184289,93,62.23,-6.59,51.8,28.86
117,Bethel,40,US,1569184076,87,60.79,-161.76,46.4,9.17
118,Novikovo,100,RU,1569184290,80,51.15,37.89,42.94,10.8
119,Avarua,100,CK,1569184089,78,-21.21,-159.78,75.2,3.36
120,Zhigansk,100,RU,1569184290,92,66.77,123.37,38.08,7.74
121,Mount Gambier,40,AU,1569184290,93,-37.83,140.78,42.8,8.05
122,Jamestown,79,AU,1569184084,93,-33.21,138.6,42.22,1.1
123,Agadez,0,NE,1569184291,9,16.97,7.99,95.86,5.12
124,Brewster,75,US,1569184291,83,41.76,-70.08,73.18,9.17
125,East London,0,ZA,1569183842,68,-33.02,27.91,48.7,16.15
126,Waipawa,0,NZ,1569184291,66,-39.94,176.59,54.0,14.0
127,Tiksi,100,RU,1569184291,94,71.64,128.87,36.64,4.45
128,Lensk,100,RU,1569184292,89,60.71,114.91,38.8,9.28
129,Enshi,0,CN,1569184292,69,30.29,109.48,51.58,3.2
130,Jerez,0,ES,1569184292,77,36.68,-6.14,70.25,3.36
131,Alofi,40,NU,1569184292,60,-19.06,-169.92,71.6,13.87
132,Victoria,75,BN,1569184098,88,5.28,115.24,77.63,12.53
133,Poum,0,MK,1569184293,81,41.28,20.71,53.6,3.36
134,Padang,100,ID,1569184293,84,-0.92,100.36,79.3,13.42
135,Port Hedland,0,AU,1569184293,22,-20.31,118.58,59.0,9.17
136,Bathsheba,40,BB,1569184084,70,13.22,-59.52,84.2,27.51
137,Cherskiy,66,RU,1569184294,93,68.75,161.3,28.0,3.74
138,Coquimbo,20,CL,1569184294,67,-29.95,-71.34,59.0,14.99
139,Seoul,1,KR,1569184102,63,37.57,126.98,61.61,6.93
140,Banyo,60,CM,1569184294,87,6.75,11.81,65.44,1.83
141,Necochea,0,AR,1569184294,28,-38.55,-58.74,53.56,4.0
142,Saint-Philippe,90,CA,1569184294,65,45.36,-73.48,78.22,17.22
143,Koumac,66,NC,1569184295,63,-20.56,164.28,71.02,8.1
144,Patacamaya,27,BO,1569184295,27,-17.23,-67.92,64.36,15.93
145,Vestmanna,22,FO,1569184295,93,62.16,-7.17,51.8,28.86
146,Ancud,20,CL,1569184295,62,-41.87,-73.83,53.6,5.82
147,Nouakchott,0,MR,1569184296,70,18.08,-15.98,86.0,11.41
148,Laguna,40,BZ,1569184296,66,16.17,-88.94,89.6,6.93
149,Miri,0,NG,1569184296,69,10.31,9.75,75.52,4.79
150,Huarmey,86,PE,1569184296,93,-10.07,-78.15,61.3,11.74
151,Aketi,3,CD,1569184297,81,2.74,23.78,74.08,0.87
152,Redlands,90,US,1569184297,10,34.06,-117.19,90.14,5.82
153,San Cristobal,34,HN,1569184297,71,14.68,-86.92,80.2,2.64
154,Palmares do Sul,0,BR,1569184297,42,-30.26,-50.51,64.99,4.0
155,Skjervoy,75,NO,1569184297,64,70.03,20.97,41.0,5.82
156,Busselton,100,AU,1569184082,65,-33.64,115.35,45.95,17.07
157,Tazovskiy,100,RU,1569184298,77,67.47,78.7,36.46,20.49
158,Aklavik,90,CA,1569184298,100,68.22,-135.01,40.82,9.17
159,Xapuri,75,BR,1569184298,58,-10.65,-68.5,87.8,9.17
160,Beloha,0,MG,1569184298,52,-25.17,45.06,73.54,11.9
161,Haines Junction,100,CA,1569184299,77,60.75,-137.51,39.7,5.46
162,Aykhal,90,RU,1569184299,74,65.95,111.51,33.8,8.95
163,Usinsk,84,RU,1569184299,97,66.0,57.56,32.5,11.1
164,Carnarvon,0,ZA,1569184003,63,-30.97,22.13,38.98,19.91
165,Meybod,0,IR,1569184299,12,32.25,54.02,86.0,4.7
166,Pimenta Bueno,98,BR,1569184300,86,-11.68,-61.19,75.88,7.74
167,Narsaq,0,GL,1569184300,70,60.91,-46.05,42.8,5.82
168,Den Helder,90,NL,1569184300,88,52.96,4.76,64.65,13.87
169,Bangassou,68,CF,1569184300,92,4.74,22.82,71.56,2.89
170,Rockland,75,CA,1569184300,78,45.55,-75.29,80.24,6.93
171,Severo-Kurilsk,100,RU,1569184301,81,50.68,156.12,47.44,8.68
172,Havelock,40,US,1569184181,51,34.88,-76.9,79.75,5.82
173,Longyearbyen,20,NO,1569184095,74,78.22,15.63,30.2,2.24
174,Mandera,74,ET,1569184301,45,3.94,41.86,80.92,19.95
175,Provideniya,20,RU,1569184301,69,64.42,-173.23,35.6,2.24
176,Mahajanga,20,MG,1569184301,50,-15.72,46.32,78.8,18.34
177,Latung,24,ID,1569184302,97,-8.45,120.42,67.24,3.58
178,Seymchan,0,RU,1569184302,88,62.93,152.39,33.58,1.34
179,Kirkuk,0,IQ,1569184302,15,35.47,44.4,71.56,6.82
180,Temir,100,KZ,1569184302,51,49.14,57.13,49.6,19.24
181,Soria,33,ES,1569184302,68,41.76,-2.46,55.0,3.06
182,Deputatskiy,100,RU,1569184303,90,69.3,139.9,27.1,0.4
183,Yumen,0,CN,1569184303,24,40.29,97.04,59.5,10.22
184,Jalu,0,LY,1569184165,54,29.03,21.55,73.9,14.67
185,Cascais,20,PT,1569184304,88,38.7,-9.42,64.02,4.7
186,Marsh Harbour,97,BS,1569184304,78,26.54,-77.06,78.58,23.0
187,Kieta,100,PG,1569184304,71,-6.22,155.63,80.92,5.01
188,Phalaborwa,0,ZA,1569184304,36,-23.95,31.14,78.8,4.7
189,Peleduy,77,RU,1569184007,98,59.63,112.75,34.3,5.93
190,Mount Isa,0,AU,1569184305,16,-20.73,139.49,68.0,14.99
191,Cravo Norte,55,CO,1569184305,60,6.3,-70.2,88.12,2.86
192,Sao Filipe,9,CV,1569184305,87,14.9,-24.5,80.2,19.3
193,Lagoa,0,PT,1569184090,56,37.14,-8.45,66.9,10.29
194,Pontes e Lacerda,62,BR,1569184305,31,-15.23,-59.33,92.62,3.8
195,Dale,0,CN,1569184305,62,24.09,109.99,65.98,7.47
196,Zyryanka,0,RU,1569184307,60,65.73,150.89,31.78,5.14
197,Saskylakh,84,RU,1569184307,92,71.97,114.09,33.94,11.01
198,Paredon,75,BO,1569184307,52,-18.93,-65.16,64.4,14.99
199,Souillac,20,FR,1569184308,87,45.6,-0.6,59.92,4.7
200,Kahului,40,US,1569184308,66,20.89,-156.47,83.62,9.17
201,Twentynine Palms,1,US,1569184308,7,34.14,-116.05,90.27,6.93
202,Kodiak,90,US,1569184309,88,39.95,-94.76,69.78,5.82
203,Impfondo,96,CD,1569184084,72,1.62,18.06,75.16,0.38
204,Vanavara,40,RU,1569184309,94,60.35,102.28,32.5,2.64
205,Chokurdakh,47,RU,1569184309,84,70.62,147.9,25.48,9.37
206,Los Llanos de Aridane,75,ES,1569184309,94,28.66,-17.92,70.54,5.82
207,Ukiah,1,US,1569184310,30,39.15,-123.21,77.76,13.87
208,Ruwi,0,OM,1569184310,79,23.6,58.55,86.0,2.24
209,Sibolga,100,ID,1569184310,86,1.74,98.78,80.74,11.5
210,Ribeira Grande,75,PT,1569184310,88,38.52,-28.7,75.2,20.8
211,Kuytun,54,RU,1569184310,80,54.34,101.51,44.56,6.31
212,Conakry,100,GN,1569184311,85,9.52,-13.7,79.66,12.41
213,Morgan City,20,US,1569184311,55,29.7,-91.21,89.42,9.17
214,Clyde River,90,CA,1569184311,91,70.47,-68.59,32.0,11.41
215,Jacareacanga,34,BR,1569184311,46,-6.22,-57.76,90.46,2.26
216,San Carlos de Bariloche,0,AR,1569184312,26,-41.13,-71.31,57.2,6.93
217,Hofn,100,IS,1569184312,98,64.25,-15.21,41.86,2.84
218,Pedernales,96,EC,1569184312,88,0.07,-80.05,72.64,13.94
219,Guerrero Negro,0,MX,1569184312,79,27.97,-114.04,72.64,8.3
220,Prado,34,CO,1569184312,36,3.75,-74.93,93.7,5.95
221,Campo Maior,47,BR,1569184313,25,-4.83,-42.16,92.08,2.53
222,Berlevag,75,NO,1569184313,75,70.86,29.09,38.53,20.8
223,Machico,20,PT,1569184313,68,32.7,-16.77,68.97,6.93
224,Dzilam Gonzalez,92,MX,1569184314,80,21.28,-88.93,82.9,13.62
225,Sayyan,0,YE,1569184314,64,15.17,44.32,71.02,2.64
226,Riyadh,0,SA,1569183953,23,24.63,46.72,84.2,3.36
227,Tual,100,ID,1569184314,87,-5.67,132.75,77.32,12.59
228,Kendari,98,ID,1569184314,96,-3.99,122.52,68.68,0.45
229,Bud,0,NO,1569184315,93,62.91,6.91,50.83,8.05
230,Moscow,40,RU,1569184127,86,55.75,37.62,38.97,11.18
231,Never,100,RU,1569184315,94,53.98,124.16,40.6,4.36
232,Cordoba,0,AR,1569184316,11,-27.78,-67.24,72.64,9.98
233,Zalantun,0,CN,1569184316,67,48.0,122.72,51.04,4.81
234,Katobu,24,ID,1569184317,96,-4.94,122.53,69.04,3.18
235,Mobaye,33,CF,1569184317,92,4.33,21.18,72.46,1.74
236,Tacuarembo,0,UY,1569184317,72,-31.73,-55.98,56.98,7.45
237,Ximei,40,TW,1569184318,73,23.74,120.51,76.3,13.87
238,Mar del Plata,100,AR,1569184318,28,-46.43,-67.52,57.7,19.44
239,Chernyshevskiy,0,RU,1569184318,90,63.01,112.47,31.06,8.32
240,Cap Malheureux,75,MU,1569184318,88,-19.98,57.61,70.83,18.34
241,Antofagasta,20,CL,1569183880,72,-23.65,-70.4,60.8,16.11
242,Fountain Hills,1,US,1569184319,17,33.61,-111.72,95.11,6.93
243,Honningsvag,75,NO,1569184320,80,70.98,25.97,39.2,17.22
244,Kununurra,0,AU,1569184320,64,-15.77,128.74,75.2,5.82
245,Novooleksiyivka,0,UA,1569184320,80,48.49,32.24,52.48,6.82
246,Kaeo,33,NZ,1569184320,100,-35.1,173.78,51.35,6.89
247,Trairi,19,BR,1569184320,72,-3.28,-39.27,75.88,6.51
248,Felanitx,20,ES,1569184321,88,39.47,3.15,75.65,6.93
249,Esperance,61,AU,1569184085,100,-33.86,121.89,42.8,6.93
250,Ajdabiya,0,LY,1569184321,70,30.75,20.22,73.36,17.13
251,Risor,55,NO,1569184321,84,58.72,9.23,54.0,4.0
252,Port Keats,52,AU,1569184321,78,-14.25,129.55,74.08,5.84
253,Wilkes-Barre,1,US,1569184322,45,41.25,-75.88,83.1,12.75
254,Mega,20,ET,1569184322,48,4.06,38.32,75.34,11.72
255,Shingu,100,JP,1569184322,98,33.72,135.99,70.84,16.13
256,Rey Bouba,82,CM,1569184322,85,8.67,14.18,74.44,3.36
257,Muros,20,ES,1569184323,87,42.77,-9.06,61.27,9.17
258,Worland,1,US,1569184323,37,44.02,-107.96,66.04,3.36
259,Deniliquin,33,AU,1569184323,91,-35.53,144.96,44.01,7.0
260,Benghazi,0,LY,1569184323,69,32.12,20.07,73.0,13.44
261,Santa Rosa,0,AR,1569184324,28,-36.62,-64.29,70.3,16.71
262,Bambanglipuro,86,ID,1569184325,87,-7.95,110.28,73.9,16.11
263,Kavaratti,96,IN,1569184325,76,10.57,72.64,82.18,6.4
264,Kenai,75,US,1569184325,70,60.55,-151.26,48.31,5.5
265,Port Blair,100,IN,1569184325,77,11.67,92.75,81.1,4.83
266,Samarai,100,PG,1569184091,94,-10.62,150.67,72.82,6.89
267,Chuy,0,UY,1569184190,55,-33.69,-53.46,51.76,8.03
268,Boysun,0,UZ,1569184327,27,38.2,67.2,56.8,7.7
269,Iralaya,20,HN,1569184327,66,15.0,-83.23,89.6,9.17
270,Utete,0,TZ,1569184327,79,-7.99,38.76,72.28,2.51
271,Hof,90,DE,1569184328,71,50.32,11.92,52.54,4.05
272,Batemans Bay,60,AU,1569184328,73,-35.71,150.18,45.03,4.0
273,Vila Franca do Campo,40,PT,1569184328,100,37.72,-25.43,71.29,16.11
274,Abha,0,SA,1569184328,18,18.22,42.5,70.48,4.7
275,Grindavik,75,IS,1569184328,93,63.84,-22.43,52.75,18.34
276,Buala,100,SB,1569184328,92,-8.15,159.59,77.5,11.61
277,Baishishan,0,CN,1569184329,88,43.58,127.55,44.02,2.06
278,Lavrentiya,100,RU,1569184083,91,65.58,-170.99,30.88,7.11
279,North Bend,75,US,1569184329,88,43.41,-124.22,63.77,19.46
280,Maracas,20,TT,1569184329,94,10.76,-61.44,75.4,5.82
281,Wilmington,1,US,1569184151,43,39.75,-75.55,87.03,3.36
282,Uruzgan,0,AF,1569184330,53,32.93,66.63,47.08,1.81
283,Manggar,100,ID,1569184330,90,-2.88,108.27,75.16,3.74
284,Mahebourg,75,MU,1569184078,88,-20.41,57.7,70.63,18.34
285,Birpur,80,IN,1569184330,79,26.48,86.75,79.48,4.74
286,Sept-Iles,90,CA,1569184291,77,50.2,-66.38,63.64,3.36
287,Fairbanks,1,US,1569184172,74,64.84,-147.72,40.14,2.17
288,Dhidhdhoo,100,MV,1569184332,75,6.88,73.1,82.18,14.38
289,Yar-Sale,100,RU,1569184332,71,66.83,70.83,38.44,19.98
290,San Patricio,45,PY,1569184332,50,-26.98,-56.83,66.88,8.97
291,Eldorado,100,BR,1569184332,96,-24.52,-48.11,58.42,3.22
292,Vardo,20,US,1569184092,45,39.62,-77.74,88.61,9.17
293,Forestville,90,CA,1569184333,78,48.74,-69.09,71.6,18.34
294,Kansanshi,42,ZM,1569184333,43,-12.1,26.43,66.16,2.75
295,Rancho Palos Verdes,75,US,1569184088,35,33.75,-118.37,87.6,3.36
296,Dauphin,1,CA,1569184333,37,51.15,-100.04,69.8,11.41
297,Lianzhou,0,CN,1569184334,69,24.79,112.38,58.24,5.12
298,Weiser,1,US,1569184334,35,44.25,-116.97,75.22,3.36
299,Plettenberg Bay,43,ZA,1569184334,79,-34.05,23.37,50.68,6.4
300,Noshiro,100,JP,1569184334,91,40.21,140.05,59.32,7.36
301,Altay,0,CN,1569184334,32,47.83,88.13,53.92,5.79
302,Arman,100,RU,1569184326,98,59.7,150.17,40.42,2.04
303,Sistranda,0,NO,1569184335,81,63.73,8.83,47.73,10.29
304,Durban,84,CA,1569184335,46,51.93,-101.44,67.6,11.95
305,Awbari,0,LY,1569184335,27,26.59,12.77,80.92,5.82
306,Karratha,0,AU,1569184087,13,-20.74,116.85,62.38,13.49
307,Igrim,100,RU,1569184335,97,63.19,64.42,35.38,11.56
308,Port-Cartier,90,CA,1569184336,77,50.03,-66.88,63.64,3.36
309,Olean,1,US,1569184336,54,42.08,-78.43,80.73,8.05
310,Lockhart,90,AU,1569184249,61,-35.22,146.72,46.36,5.82
311,Praia da Vitoria,40,PT,1569184336,94,38.73,-27.07,73.4,19.13
312,Zhanakorgan,33,KZ,1569184337,55,43.91,67.25,52.48,11.99
313,San Pedro de Macoris,40,DO,1569184134,70,18.46,-69.3,88.59,6.93
314,Pisco,0,PE,1569184337,30,-13.71,-76.2,67.41,11.41
315,Niquelandia,41,BR,1569184337,20,-14.47,-48.46,92.44,4.63
316,Farrukhabad,85,IN,1569184338,82,27.39,79.58,77.32,3.6
317,Bonavista,67,CA,1569184338,63,48.65,-53.11,57.99,14.0
318,Todos Santos,75,MX,1569184338,78,23.45,-110.23,83.52,13.87
319,Georgetown,20,GY,1569183983,70,6.8,-58.16,86.0,11.41
320,Edson,1,CA,1569184338,59,53.59,-116.44,62.6,2.24
321,Roebourne,0,AU,1569184082,14,-20.77,117.15,64.0,16.22
322,Caravelas,2,BR,1569184339,78,-17.73,-39.27,75.7,7.63
323,Sao Joao da Barra,90,BR,1569184339,94,-21.64,-41.05,71.53,10.29
324,Lyskovo,100,RU,1569184339,96,56.03,45.04,37.99,11.7
325,Tiarei,20,PF,1569184339,48,-17.53,-149.33,86.0,24.16
326,Pakpattan,0,PK,1569184340,52,30.34,73.39,81.64,6.82
327,Salisbury,6,GB,1569184341,87,51.07,-1.8,57.67,9.17
328,Emerald,68,AU,1569184341,72,-23.53,148.16,59.77,5.82
329,Kijang,75,KR,1569184341,82,35.24,129.21,64.4,5.82
330,Grand-Santi,0,GF,1569184342,45,4.27,-54.38,89.2,2.44
331,Pitimbu,0,BR,1569184342,69,-7.47,-34.81,78.8,9.17
332,Olinda,90,AU,1569184343,87,-37.84,145.39,46.81,3.36
333,Two Rivers,90,US,1569184343,88,44.15,-87.57,68.2,6.93
334,Pacific Grove,40,US,1569184343,68,36.62,-121.92,78.15,10.29
335,Nisia Floresta,0,BR,1569184344,69,-6.09,-35.21,79.66,14.99
336,Las Cruces,40,CL,1569184344,76,-33.5,-71.62,54.75,11.41
337,Quatre Cocos,75,MU,1569184344,88,-20.21,57.76,70.74,18.34
338,Roald,0,NO,1569184344,93,62.58,6.12,51.28,8.05
339,Xinqing,0,CN,1569184344,97,48.28,129.53,44.74,5.53
340,Lucea,75,JM,1569184345,88,18.44,-78.17,80.6,5.82
341,Nishihara,90,JP,1569184345,100,35.74,139.53,70.09,4.7
342,Cherdyn,19,RU,1569184345,94,60.4,56.48,29.08,1.79
343,Tura,81,RU,1569184345,86,64.27,100.22,29.08,5.55
344,Keskin,0,TR,1569184345,42,39.67,33.62,54.0,2.39
345,Vangaindrano,17,MG,1569184346,92,-23.35,47.6,62.02,2.93
346,Codrington,7,AU,1569184346,93,-28.95,153.24,62.06,8.86
347,Bouar,100,CF,1569184346,93,5.94,15.59,67.6,4.79
348,Smithers,40,CA,1569184346,54,54.78,-127.17,55.4,2.24
349,Kruisfontein,31,ZA,1569184346,83,-34.0,24.73,50.32,13.96
350,Vostok,19,RU,1569184347,87,46.45,135.83,39.16,3.24
351,Verkhoyansk,66,RU,1569184347,89,67.55,133.39,27.46,3.38
352,George,1,MW,1569184347,33,-15.35,34.83,75.34,4.7
353,Bowen,62,AU,1569184347,93,-20.01,148.25,59.0,5.82
354,Eureka,90,US,1569184060,72,40.8,-124.16,66.76,4.7
355,San Juan,0,AR,1569184348,14,-31.54,-68.53,59.14,6.91
356,Ishigaki,100,JP,1569184348,80,24.34,124.16,77.32,17.07
357,Prince Rupert,75,CA,1569184295,76,54.32,-130.32,57.2,6.93
358,Puerto Madero,0,AR,1569184348,39,-34.61,-58.36,62.02,13.87
359,Norman Wells,75,CA,1569184348,66,65.28,-126.83,53.6,17.22
360,Broome,40,GB,1569184348,93,52.47,1.45,60.39,6.93
361,Salamanca,75,MX,1569184349,50,20.57,-101.19,78.67,5.82
362,Steinbach,75,CA,1569184349,68,49.53,-96.69,65.28,6.93
363,Rumonge,0,BI,1569184349,55,-3.97,29.44,69.76,4.7
364,Vilyuysk,17,RU,1569184349,92,63.75,121.63,33.4,7.99
365,Newport,40,GB,1569184297,87,51.59,-3.0,58.23,6.93
366,Saint-Joseph,90,FR,1569184350,94,43.56,6.97,66.63,1.92
367,Hambantota,100,LK,1569184350,85,6.12,81.12,79.84,19.04
368,Paris,90,FR,1569184021,93,48.86,2.35,59.86,6.93
369,Sinjhoro,0,PK,1569184350,70,26.03,68.81,89.6,4.7
370,Port Elizabeth,1,US,1569184350,48,39.31,-74.98,85.84,9.17
371,Khani,0,GE,1569184350,93,41.96,42.96,48.2,2.24
372,Tateyama,8,JP,1569184351,54,36.66,137.31,83.62,1.01
373,Maniitsoq,0,GL,1569184351,84,65.42,-52.9,39.34,6.85
374,La Palma,68,CO,1569184351,72,5.36,-74.39,80.56,2.59
